Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Person
6.52E+05,2.67E+05,48078,15855,20803,9974,2996,1945,Ashu
1.02E+06,21022,1519,8496,18384,7194,3351,402,Ashu
2.59E+05,3826,643,347,291,238,227,58,Ashu
2.47E+05,1.03E+05,14714,9941,4748,1954,1859,1881,Ashu
7.71E+05,2.26E+05,9122,4170,2001,3010,3039,791,Ashu
2.93E+05,2.25E+05,28490,11339,5192,9721,9551,7903,Ashu
1.46E+06,96294,30232,12294,11789,5119,934,1908,Ashu
1.52E+06,55132,5353,12978,4892,5232,1551,801,Ashu
3.24E+05,48198,8107,8006,5016,2566,5226,1190,Ashu
1.72E+05,12208,3913,4707,1271,1538,838,522,Ashu
1.32E+06,2.77E+05,1.24E+05,16051,8237,7108,10559,5731,Ashu
5.37E+05,1.20E+05,17878,5808,4730,4197,3459,1433,Ashu
5.31E+05,8.74E+05,2.24E+05,1.09E+05,10669,35022,23899,7290,Ashu
3.71E+05,2.26E+05,2379,2955,9965,5968,3648,1958,Ashu
6.31E+05,48628,3821,24061,12520,5944,4380,2046,Ashu
9.68E+05,39445,981,14215,9198,3686,1505,1115,Ashu
2.29E+06,7.08E+05,1.20E+05,95424,34818,30466,8665,12447,Ashu
1.80E+05,1.38E+05,20443,6832,3628,4819,3757,3350,Ashu
9.37E+05,59060,3131,5684,3586,2736,1542,1640,Ashu
9.06E+05,32871,11579,4275,7585,3166,1088,1404,Ashu
9.54E+05,54873,15296,13845,5077,10799,4157,2078,Ashu
5.19E+05,48621,6876,2236,9962,8945,1209,919,Ashu
4.16E+05,59386,10128,4243,7352,3244,2876,824,Ashu
2.04E+06,1.69E+05,2.77E+05,23396,8732,10179,8315,15696,Ashu
2.40E+06,45549,29506,8741,4111,2601,3404,1009,Ashu
29485,5226,156,536,193,167,165,44,Ashu
4.69E+05,1.94E+05,10528,3521,12592,4489,1709,999,Ashu
1.09E+06,3.06E+05,1.30E+05,4959,26382,8482,8652,3211,Ashu
55225,47750,5342,4091,2568,4017,945,1827,Ashu
1.15E+06,86623,14616,5843,12902,18723,4413,4124,Ashu
2.22E+05,80355,26874,17311,9318,9777,4980,5373,Ashu
7.33E+05,2.71E+05,6300,10877,17499,35346,4845,4911,Ashu
65401,27722,4555,4833,2245,2283,3041,866,Ashu
1.99E+05,54665,4703,1345,3203,1373,1786,798,Ashu
98231,37573,4397,4402,1326,2864,1788,608,Ashu
6.41E+05,33668,31903,11180,22997,9337,7541,3382,Ashu
2.45E+05,64613,8481,23052,11797,10714,7325,4411,Ashu
3.34E+05,4598,2868,3497,3671,6258,1671,984,Ashu
2.50E+05,56028,18588,3647,6680,3384,3384,873,Ashu
2.30E+05,8663,18589,36643,15179,5825,8041,3921,Ashu
4.76E+05,87215,21766,7071,18875,9602,12190,7186,Ashu
5.52E+05,80134,24764,8639,13767,15645,8492,2673,Ashu
2.44E+05,20831,2827,6905,2855,2120,1760,1208,Ashu
6.07E+05,1.97E+05,14956,11231,6197,13667,2961,969,Ashu
1.53E+06,68897,18949,15065,14018,8615,14350,7663,Ashu
4.20E+05,53727,4768,4022,1874,1935,1695,1148,Ashu
3.73E+05,2.45E+05,67037,24679,18041,14008,5804,3107,Ashu
3.44E+05,5.15E+05,16790,9498,27052,40154,17694,8732,Ashu
1.09E+06,3524,1816,1812,1647,643,668,1743,Ashu
16211,14441,2632,522,2705,2266,1424,811,Ashu
4.49E+05,1.58E+05,10634,12123,6638,15806,4616,4586,Ashu
4.57E+05,49398,14037,1560,4159,3360,2580,1124,Ashu
1.11E+06,2.53E+05,95238,15125,17604,16015,16299,7940,Ashu
8.93E+05,44062,2873,5913,2891,4673,2803,1187,Ashu
39336,18932,7429,3420,2611,2958,735,745,Ashu
1.07E+05,19148,1120,1090,2425,580,250,251,Ashu
1.18E+05,17786,135,1530,2122,2532,1980,1122,Ashu
51726,11897,6842,2392,3962,2634,2041,992,Ashu
1.86E+05,71490,18386,7681,4887,4337,1137,1450,Ashu
1.99E+06,8898,20885,12780,5661,8827,5107,11673,Ashu
4.00E+05,63418,33025,23243,3028,5996,4915,4751,Ashu
3.90E+05,20774,2096,1661,4704,1024,1704,1108,Ashu
9.42E+05,75943,27439,25201,12880,4366,4120,4003,Ashu
50869,8149,8009,340,1766,1336,283,319,Ashu
30947,12354,6403,1180,1018,3564,1408,925,Ashu
9.20E+05,1.05E+05,86927,18524,18431,6075,7581,3152,Ashu
8.27E+05,88323,55342,46742,17532,13726,7317,4466,Ashu
4.03E+05,40170,24658,9340,6899,9444,7084,3489,Ashu
2.53E+05,1.08E+05,29286,3796,8193,7200,4902,5096,Ashu
3.09E+05,23340,3484,5863,5846,1343,841,1115,Ashu
4.63E+05,14762,5578,1302,1235,767,610,1055,Ashu
8.66E+05,19316,18523,3497,7326,3555,2689,1659,Ashu
6.69E+05,4.50E+05,34363,25105,42233,10112,7602,3707,Ashu
1.54E+05,25164,18737,9053,2580,3696,1644,936,Ashu
4.36E+05,39180,13392,1217,3338,992,336,78,Ashu
3.68E+05,9921,306,759,528,303,153,48,Ashu
2.94E+05,47764,9188,13084,5952,3149,3325,2738,Ashu
4.52E+05,32020,5706,6950,1897,886,637,351,Ashu
6.62E+05,10630,7197,497,6111,2254,1743,973,Ashu
2.00E+06,1.05E+05,8405,7225,7166,16383,5668,2966,Ashu
89012,29531,8543,3390,2351,2479,3143,1526,Ashu
5.41E+05,1.77E+05,16106,28441,24527,12725,7662,2026,Ashu
8.85E+05,74317,6259,5983,7623,3120,2395,863,Ashu
41533,19698,8749,5488,6893,2047,1275,635,Ashu
1.55E+05,10013,2526,2068,3880,2857,1922,1126,Ashu
7.04E+05,23437,18982,10506,3682,2179,4627,1069,Ashu
4.27E+05,39064,25842,26044,31736,17897,6718,7907,Ashu
1.44E+06,1.56E+05,35405,14165,15664,11196,6087,8970,Ashu
2.20E+05,4935,9813,907,2813,829,518,328,Ashu
1.36E+06,2.97E+05,35197,55162,14534,15861,8707,5872,Ashu
3.67E+05,62772,13644,8389,5453,2222,1039,1025,Ashu
9.90E+05,36573,10824,13003,11719,3910,1782,1996,Ashu
1.96E+06,76741,2257,9603,8644,4174,1407,1106,Ashu
5.83E+05,51909,14710,13574,5511,5353,1742,1586,Ashu
1.69E+05,50636,5594,4611,2500,1328,1842,815,Ashu
1.03E+06,2.51E+05,89607,18550,27131,24172,9799,3912,Ashu
2.29E+06,1.99E+05,92259,59907,26522,11021,9290,4660,Ashu
3.09E+06,4.39E+05,31191,15208,39378,20360,19166,3808,Ashu
6.24E+05,42721,4861,8907,23772,8693,6014,1139,Ashu
5.07E+05,18549,2911,6591,5643,2270,658,227,Ashu
87766,12322,1972,8008,1868,2012,1404,812,Ashu
6.11E+05,15183,3413,3151,6170,2712,1091,694,Ashu
9.33E+05,68586,79514,14856,13515,8959,4167,4034,Ashu
3.77E+05,76497,4427,10262,1381,1731,1072,1351,Ashu
3.25E+05,42648,4914,4012,11487,1750,1187,577,Ashu
2.72E+05,8491,2805,1612,1380,514,326,363,Ashu
6.43E+05,38114,31431,3543,1260,3132,2170,2373,Ashu
2.02E+06,1.27E+06,64524,71281,13110,12814,9187,4544,Ashu
1.25E+06,8.27E+05,1.09E+05,61333,14524,10477,8557,6533,Ashu
1.39E+06,1.28E+05,2904,552,18371,8863,7143,9718,Ashu
9.82E+05,3.34E+05,15453,14607,28143,9995,8604,6715,Ashu
7.50E+05,2.72E+05,31253,10080,11108,16894,4455,4261,Ashu
6.81E+05,46090,8023,9258,2490,5096,785,1978,Ashu
31924,23158,2446,576,715,607,560,361,Ashu
66607,26418,10068,14665,10823,4620,4171,8511,Ashu
5.02E+05,3.96E+05,22704,9253,13778,14581,4358,6309,Ashu
29996,21074,20110,5693,10564,11213,5412,4297,Ashu
6.48E+05,97159,5983,23525,21493,6017,8704,9285,Ashu
50173,20319,11477,6737,5538,3735,1412,2244,Ashu
6.56E+05,2.42E+05,14081,23615,6208,24329,4512,10563,Ashu
3.20E+05,53069,17974,13378,3114,6423,8270,12807,Ashu
4.48E+05,77385,3183,3986,4698,7595,3198,7237,Ashu
1.36E+05,60577,9729,3717,3200,2534,1560,1120,Ashu
2.52E+06,4.42E+05,1.36E+05,9484,8050,9901,9810,10061,Ashu
8.49E+05,4.03E+05,49576,21071,11754,12422,3151,8991,Ashu
62245,88429,14834,6207,1036,1564,762,1771,Ashu
6.57E+05,7.59E+05,31822,13249,2041,4279,1783,4437,Ashu
4.44E+05,24972,15048,2687,667,762,221,1516,Ashu
7.58E+05,1.94E+05,21102,63120,37651,7800,10435,6863,Ashu
8.37E+05,2.05E+05,4885,4855,11072,7915,7704,6370,Ashu
1.00E+06,27522,6436,2818,824,1558,569,1673,Ashu
33584,41917,22650,3829,2680,7648,1645,5047,Ashu
70744,16813,4473,933,1976,5554,1284,1687,Ashu
40711,11253,3499,5837,3848,7380,5481,3603,Ashu
50983,13279,30532,1894,8237,9070,3323,6348,Ashu
1.81E+05,9597,1677,3367,2355,1458,501,1158,Ashu
1.00E+05,34778,14328,7867,9708,6573,5281,4616,Ashu
1.16E+06,56628,17651,48288,15776,21427,6792,13785,Ashu
14907,28806,8876,8400,8631,11243,1947,4398,Ashu
6109,13894,3741,5072,4252,7786,3540,3390,Ashu
39179,7651,12095,5608,9322,11410,9763,3627,Ashu
13060,54424,18544,2399,1258,8648,2060,5493,Ashu
13464,29268,15709,2788,17561,13109,1762,3025,Ashu
87652,28726,5306,9370,2278,7251,2420,1576,Ashu
1.05E+05,45524,15835,2914,1337,2556,535,1069,Ashu
1.70E+05,24008,26904,21841,6650,2875,1354,4582,Ashu
1.15E+05,25433,22205,1059,3790,11276,2501,6490,Ashu
1.28E+06,1.63E+05,6669,9297,12204,18690,6912,6325,Ashu
1.19E+06,1.03E+05,4227,10658,12103,8126,3166,6182,Ashu
43820,35405,11604,15847,9878,6609,2546,5771,Ashu
7.47E+05,3.53E+05,42850,8730,15386,9323,10769,3890,Ashu
